"","g05_01","g05_02","g05_03","g05_04","g05_05","g05_06","g05_07","g05_08","g05_09","g05_10","g05_11","g05_12","g05_13","g05_14","g05_15","g05_16","g05_17","g05_18","g05_19","g05_20","g05_21","g05_22","g05_23","g05_24","g05_25","g05_26","g05_27","g05_28","g05_29","g05_30","g05_31","g05_32","g05_33","g05_34","g05_35","g05_36","g05_37","g05_38","g05_39","g05_40","g05_41","g05_42","g05_43","g05_44","g05_45","g05_46","g05_47","g05_48","g05_49","g05_50","g05_51","g05_52","g05_53","g05_54","g05_55","g05_56","g05_57","g05_58","g05_59","g05_60","g05_61","g05_62","g05_63","g05_64","g05_65","g05_66","g05_67","g05_68","g05_69","g05_70","g05_71","g05_72","g05_73","g05_74","g05_75","g05_76","g05_77","g05_78","g05_79","g05_80","g05_81","g05_82","g05_83","g05_84","g05_85"
"924487","tiger","lion","giraff","antelop","ap","gorilla","monkei","orangutan","hors","cow","cat","","","","","","","","","","beaver","woodchuck","dog","cat","gerbil","","","","","","","","","","","","","","","","insect","fish","","","","","","","","","","","","","","","","","","","lizard","","","","","","","","","","","","","","","","","","","","","","","",""
"926229","dog","cat","rat","mous","cow","chicken","hors","pig","lion","tiger","eleph","wildebeest","hyena","","","","","","","","donkei","mule","humb","","","","","","","","","","","","","","","","","","wolf","polarbear","seal","","","","","","","","","","","","","","","","","","cougar","puma","","","","","","","","","","","","","","","","","","","","","","",""
"929289","ant","anteat","dog","cat","snak","bird","","","","","","","","","","","","","","","fish","owl","lion","tiger","zebra","kangaroo","pheasant","deer","elk","moos","bear","otter","fisher","","","","","","","","badger","mink","muskrat","pheasant","hungaripartridg","quail","","","","","","","","","","","","","","","largemouthbass","bobcat","mountainlion","moos","cougar","","","","","","","","","","","","","","","","","","","",""
"923297","giraff","rhino","hors","poni","dog","cat","kangaroo","zebra","eleph","hyena","","","","","","","","","","","muskrat","rabbit","squirrel","raccoon","","","","","","","","","","","","","","","","","deer","bear","moos","lemur","","","","","","","","","","","","","","","","","pig","sheep","farmanim","","","","","","","","","","","","","","","","","","cow","","","",""
"916272","cat","dog","eleph","zebra","monkei","orangutan","gorilla","fish","giraff","","","","","","","","","","","","eleph","pig","cow","chicken","rooster","allig","snak","spider","","","","","","","","","","","","","hippo","crocodil","zebra","","","","","","","","","","","","","","","","","","leopard","polarbear","brownbear","","","","","","","","","","","","","","","","","","","","","",""
"915461","lion","tiger","bear","eleph","giraff","hippo","dog","cat","bunni","gecko","snak","monkei","","","","","","","","","turtl","guineapig","hamster","bird","zebra","","","","","","","","","","","","","","","","gorilla","deer","moos","mous","rat","squirrel","","","","","","","","","","","","","","","bat","panther","","","","","","","","","","","","","","","","","","","","","","",""
"925603","dog","cat","llama","cow","sheep","bear","deer","coyot","wolf","raccoon","otter","","","","","","","","","","eleph","tiger","pig","chicken","","","","","","","","","","","","","","","","","snak","bird","","","","","","","","","","","","","","","","","","","llama","","","","","","","","","","","","","","","","","","","","","","","",""
"912142","dog","cat","lion","tiger","fox","wolf","raccoon","","","","","","","","","","","","","","bat","","","","","","","","","","","","","","","","","","","","eleph","giraff","zebra","bird","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"907894","cockroach","lion","tiger","hippo","tortois","giantpanda","kangaroo","","","","","","","","","","","","","","llama","koala","pig","chicken","bear","dog","","","","","","","","","","","","","","","cat","fish","anteat","","","","","","","","","","","","","","","","","","","buffalo","eleph","koala","","","","","","","","","","","","","","","","","","","","",""
"912939","dog","cat","hors","giraff","eleph","tiger","lion","","","","","","","","","","","","","","cheetah","snak","","","","","","","","","","","","","","","","","","","rhino","bull","cow","sheep","","","","","","","","","","","","","","","","","rat","mous","porcupin","","","","","","","","","","","","","","","","","","","","","",""
"932026","dog","cat","mous","lous","cow","chicken","","","","","","","","","","","","","","","rat","lion","bear","goos","duck","canari","","","","","","","","","","","","","","","robin","goat","lamb","pig","","","","","","","","","","","","","","","","","llama","giraff","gorilla","monkei","","","","","","","","","","","","","","","","","","","","",""
"921352","dog","cat","hors","cow","snak","fish","pig","ostrich","robin","","","","","","","","","","","","bird","ant","","","","","","","","","","","","","","","","","","","donkei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"931940","dog","cat","eleph","allig","giraff","camel","squirrel","raccoon","","","","","","","","","","","","","fox","coyot","hors","mule","","","","","","","","","","","","","","","","","lion","tiger","panther","monkei","ap","","","","","","","","","","","","","","","","bird","","","","","","","","","","","","","","","","","","","","","","","",""
"912972","cat","dog","hors","sheep","chicken","duck","goos","eagl","robin","pigeon","sparrow","","","","","","","","","","schnauzer","colli","sheepdog","","","","","","","","","","","","","","","","","","bichonfris","persicat","","","","","","","","","","","","","","","","","","","allig","crocodil","snak","lizard","salamand","","","","","","","","","","","","","","","","","","","",""
"927739","dog","cat","goat","pig","sheep","duck","chicken","goos","turkei","hors","cow","mule","jackass","","","","","","","","goat","hyena","lion","tiger","eleph","","","","","","","","","","","","","","","","bear","tiger","leopard","","","","","","","","","","","","","","","","","","peacock","orangutan","baboon","","","","","","","","","","","","","","","","","","hyena","ostrich","","",""
"903989","farmanim","zooanim","wildanim","jungleanim","largeanim","smallanim","giraff","llama","","","","","","","","","","","","","buffalo","bear","bison","dog","cat","lamb","hors","poni","eleph","giraff","","","","","","","","","","","kangaroo","householdpet","wildanim","africanim","","","","","","","","","","","","","","","","","biganim","smallanim","zebra","hippo","rhino","","","","","","","","","","","","","","","","","","","",""
"926421","dog","cat","hors","lion","tiger","panther","giraff","rhino","hippo","deer","","","","","","","","","","","elk","moos","sheep","bear","raccoon","weasel","","","","","","","","","","","","","","","wolverin","ferret","mous","rat","porcupin","armadillo","","","","","","","","","","","","","","","monkei","leopard","","","","","","","","","","","","","","","","","","","","","","",""
"920049","cat","dog","chipmunk","squirrel","deer","bear","caribou","moos","","","","","","","","","","","","","cow","hors","sheep","buffalo","","","","","","","","","","","","","","","","","prairiedog","ferret","mink","tiger","","","","","","","","","","","","","","","","","lion","eleph","wildebeest","","","","","","","","","","","","","","","","","","","","","",""
"924882","cat","dog","hors","cow","pig","chicken","bird","fish","armadillo","raccoon","opossum","","","","","","","","","","turtl","dragon","mule","donkei","tiger","","","","","","","","","","","","","","","","eleph","ostrich","llama","sheep","goat","snail","snak","","","","","","","","","","","","","","mole","chipmunk","weasel","ferret","groundhog","","","","","","","","","","","","","","","","","","","",""
"919288","cat","giraff","dog","owl","eleph","","","","","","","","","","","","","","","","donkei","rat","bird","","","","","","","","","","","","","","","","","","moos","deer","elk","","","","","","","","","","","","","","","","","","rabbit","sheep","cow","hors","","","","","","","","","","","","","","","","","","","","",""
"923372","lamb","giraff","goat","hors","cow","dog","cat","eleph","tiger","rhino","hippo","warthog","coyot","wolf","pig","","","","","","gazel","elk","moos","gopher","groundhog","","","","","","","","","","","","","","","","woodchuck","skunk","beaver","antelop","llama","eland","","","","","","","","","","","","","","","kangaroo","","","","","","","","","","","","","","","","","","","","","","","",""
"907920","cat","dog","zebra","lion","leopard","bird","eleph","kangaroo","wallabi","groundhog","owl","","","","","","","","","","monkei","rhino","hippo","giraff","squirrel","","","","","","","","","","","","","","","","groundhog","fish","whale","","","","","","","","","","","","","","","","","","sheep","cow","hors","chicken","duck","goos","bull","","","","","","","","","","","","","","","","","",""
"909734","dog","cat","fish","llama","goat","pig","bear","gorilla","lion","penguin","","","","","","","","","","","iguana","hamster","rabbit","rat","gerbil","","","","","","","","","","","","","","","","ap","fox","deer","chipmunk","","","","","","","","","","","","","","","","","squirrel","raccoon","","","","","","","","","","","","","","","","","","","","","","",""
"913297","dog","cat","eleph","hors","mule","fox","deer","gopher","rat","mous","","","","","","","","","","","squirrel","bird","snak","fox","","","","","","","","","","","","","","","","","cow","pig","sheep","chicken","fish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"923292","chicken","cat","dog","hors","cow","rhino","eleph","lion","","","","","","","","","","","","","leopard","tiger","hippo","","","","","","","","","","","","","","","","","","wolf","monkei","","","","","","","","","","","","","","","","","","","chimp","orangutan","","","","","","","","","","","","","","","","","","","","","","",""
"926328","dog","cat","hors","sheep","cow","lion","tiger","cheetah","eleph","rhino","hippo","","","","","","","","","","cow","calf","hors","lamb","","","","","","","","","","","","","","","","","coyot","fox","buffalo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"924033","dog","cat","rabbit","vole","mous","cattl","hors","cat","","","","","","","","","","","","","tiger","lion","bear","monkei","giraff","","","","","","","","","","","","","","","","buffalo","waterbuffalo","lemur","llama","donkei","","","","","","","","","","","","","","","","camel","","","","","","","","","","","","","","","","","","","","","","","",""
"924870","cat","dog","rabbit","mous","snak","bird","lion","leopard","zebra","eleph","camel","chipmunk","squirrel","","","","","","","","fish","snail","clam","crab","shrimp","","","","","","","","","","","","","","","","chicken","duck","hors","cow","sheep","chicken","duck","pig","","","","","","","","","","","","","monkei","chimp","baboon","","","","","","","","","","","","","","","","","","","","","",""
"911563","cow","hors","lion","tiger","eleph","pig","leopard","squirrel","","","","","","","","","","","","","dog","cat","rat","mous","deer","antelop","moos","","","","","","","","","","","","","","gopher","rabbit","","","","","","","","","","","","","","","","","","","kangaroo","","","","","","","","","","","","","","","","","","","","bear","","","",""
"922249","dog","cat","pig","chicken","goos","bear","bison","goos","duck","hors","","","","","","","","","","","donkei","fish","whale","dolphin","monkei","ap","eleph","tiger","lion","","","","","","","","","","","","cheetah","armadillo","anteat","koala","polarbear","","","","","","","","","","","","","","","","snak","owl","","","","","","","","","","","","","","","","","","","cardin","","","",""
"920785","bear","lion","deer","cow","pig","eleph","zebra","giraff","","","","","","","","","","","","","rhino","pig","dog","cat","ferret","","","","","","","","","","","","","","","","sheep","","","","","","","","","","","","","","","","","","","","buffalo","opossum","squirrel","","","","","","","","","","","","","","","","","","","","","",""
"916434","dog","cat","mous","duck","goos","zebra","giraff","lion","tiger","chimp","monkei","","","","","","","","","","snak","gosl","hors","cow","","","","","","","","","","","","","","","","","sheep","pig","butterfli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914547","zebra","giraff","bear","bird","mammal","ap","gorilla","orangutan","","","","","","","","","","","","","chimp","lion","tiger","ocelot","bird","ostrich","","","","","","","","","","","","","","","sparrow","bluejai","oriol","scarlettanag","cardin","","","","","","","","","","","","","","","","gopher","chipmunk","dog","cat","parakeet","","","","","","","","","","","","","","","","canari","","","",""
"918336","cat","dog","pig","hors","wolf","giraff","","","","","","","","","","","","","","","deer","wolf","eleph","","","","","","","","","","","","","","","","","","zebra","","","","","","","","","","","","","","","","","","","","monkei","","","","","","","","","","","","","","","","","","","","","","","",""
"905881","cat","dog","rat","chicken","duck","cow","goos","fox","squirrel","tiger","monkei","","","","","","","","","","seal","hors","octopus","beaver","shark","fish","deer","antelop","","","","","","","","","","","","","elk","mountaingoat","sheep","rabbit","","","","","","","","","","","","","","","","","chipmunk","squirrel","bird","eagl","","","","","","","","","","","","","","","","","","","","",""
"923250","aardvark","cat","coyot","dog","eleph","giraff","","","","","","","","","","","","","","","jackal","kangaroo","llama","monkei","","","","","","","","","","","","","","","","","octopus","penguin","","","","","","","","","","","","","","","","","","","walrus","yak","zebra","","","","","","","","","","","","","","","","","","","","","",""
"911725","cow","pig","hors","sheep","goat","giraff","eleph","lion","tiger","bear","mous","","","","","","","","","","rat","squirrel","groundhog","chipmunk","allig","","","","","","","","","","","","","","","","crocodil","zebra","eleph","wildebeest","","","","","","","","","","","","","","","","","deer","bear","moos","elk","rabbit","","","","","","","","","","","","","","","","","","","",""
"906113","dog","cat","bird","mous","chipmunk","squirrel","cow","hors","pig","chicken","","","","","","","","","","","sheep","lamb","flamingo","turtl","","","","","","","","","","","","","","","","","goat","puppi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"919683","fox","rabbit","toad","bear","deer","","","","","","","","","","","","","","","","monkei","penguin","giraff","hippo","","","","","","","","","","","","","","","","","hors","woodchuck","muskrat","otter","","","","","","","","","","","","","","","","","dog","cat","bird","","","","","","","","","","","","","","","","","","","","","",""
"922973","cat","dog","bird","snak","mous","rat","deer","bear","fish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","elk","","","","","","","","","","","","","","","","","","","","raccoon","","","","","","","","","","","","","","","","","","","","","","","",""
"930969","cat","dog","hors","camel","eleph","zebra","lion","tiger","giraff","bear","","","","","","","","","","","monkei","ap","mongoos","deer","","","","","","","","","","","","","","","","","moos","allig","","","","","","","","","","","","","","","","","","","hippo","","","","","","","","","","","","","","","","","","","","","","","",""
"909031","dog","cat","cow","hors","goat","sheep","buffalo","deer","antelop","tiger","","","","","","","","","","","lion","eleph","zebra","giraff","monkei","gorilla","hippo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hors","donkei","camel","","","","","","","","","","","","","","","","","","","","","",""
"911624","dog","cat","pygmygoat","bear","mountainlion","zebra","eleph","","","","","","","","","","","","","","","antelop","wolf","","","","","","","","","","","","","","","","","","coyot","deer","cattl","","","","","","","","","","","","","","","","","","hors","pig","","","","","","","","","","","","","","","","","","","","","","",""
"919386","bear","goos","duck","cow","monkei","dog","cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","snak","moos","elk","","","","","","","","","","","","","","","","","","muled","","","","","","","","","","","","","","","","","","","","","","","",""
"919036","cow","hors","sheep","goat","pig","chicken","elk","moos","deer","bear","","","","","","","","","","","zebra","hippo","","","","","","","","","","","","","","","","","","","monkei","guineapig","cat","dog","ferret","","","","","","","","","","","","","","","","gorilla","chimp","tiger","","","","","","","","","","","","","","","","","","lion","wolf","","",""
"933840","cow","sheep","hors","goat","pig","dog","cat","","","","","","","","","","","","","","turkei","deer","","","","","","","","","","","","","","","","","","","pheasant","calf","goat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"927467","dog","cat","beaver","elk","moos","deer","wolf","mink","otter","raccoon","wolverin","gopher","","","","","","","","","chipmunk","squirrel","skunk","porcupin","dog","cat","platypus","","","","","","","","","","","","","","mongoos","ferret","sabl","eleph","lion","tiger","giraff","gazebo","","","","","","","","","","","","","zebra","lynx","cheetah","impala","jaguar","bobcat","","","","","","","","","","","","","","","","","","",""
"919834","hors","cow","chicken","duck","goos","dog","cat","skunk","raccoon","opossum","deer","","","","","","","","","","guineapig","chicken","donkei","hors","prairiechicken","snak","","","","","","","","","","","","","","","opossum","wolverin","lion","tiger","eleph","giraff","bison","","","","","","","","","","","","","","buffalo","elk","moos","pig","","","","","","","","","","","","","","","","","","","","",""
"910038","cow","cat","dog","eleph","rhino","lion","tiger","bear","","","","","","","","","","","","","hors","turtl","","","","","","","","","","","","","","","","","","","llama","bear","polarbear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"902784","cow","pig","sheep","hors","chicken","duck","turkei","pig","deer","elk","moos","caribou","","","","","","","","","bear","coyot","wolf","bobcat","mink","otter","ferret","fisher","","","","","","","","","","","","","lion","tiger","leopard","giraff","antelop","allig","crocodil","hippo","","","","","","","","","","","","","zebra","koala","kangaroo","giraff","","","","","","","","","","","","","","","","","","","","",""
"921058","turkei","duck","pig","cow","dog","fish","whale","hors","cat","","","","","","","","","","","","angleworm","emu","penguin","","","","","","","","","","","","","","","","","","elk","moos","deer","bear","rabbit","","","","","","","","","","","","","","","","sheep","cow","","","","","","","","","","","","","","","","","","","","","","",""
"916999","lion","tiger","dog","cat","wolf","bear","coyot","fox","rabbit","cow","hors","pig","","","","","","","","","eleph","zebra","wildebeest","camel","llama","","","","","","","","","","","","","","","","pig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914157","cat","dog","raccoon","opossum","camel","moos","elk","deer","pheasant","partridg","mous","squirrel","","","","","","","","","elk","grizzlybear","blackbear","bobcat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","allig","","","",""
"914348","dog","cat","deer","lion","tiger","elk","moos","bear","wolf","coyot","fox","","","","","","","","","","beaver","mink","marten","fisher","weasel","skunk","mink","","","","","","","","","","","","","","hors","gazel","zebra","buffalo","","","","","","","","","","","","","","","","","eleph","zebra","tiger","weasel","","","","","","","","","","","","","","","","","","","","",""
"931088","dog","cat","eleph","giraff","monkei","goat","cow","hors","pig","chicken","","","","","","","","","","","fox","wolf","dog","bear","rhino","giraff","eleph","","","","","","","","","","","","","","camel","hors","zebra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"924890","hors","cow","chicken","pig","sheep","goat","dog","cat","bird","goos","duck","partridg","","","","","","","","","pheasant","grous","eagl","snak","","","","","","","","","","","","","","","","","rabbit","muskrat","owl","","","","","","","","","","","","","","","","","","prairiedog","","","","","","","","","","","","","","","","","","","","","","","",""
"904188","dog","cat","walrus","eleph","giraff","rooster","hen","cow","pig","shark","","","","","","","","","","","dolphin","lion","tiger","","","","","","","","","","","","","","","","","","dachshund","beagl","germshepard","","","","","","","","","","","","","","","","","","whale","fish","frog","crab","","","","","","","","","","","","","","","","","","","","",""
"925675","dog","cat","cow","hors","zebra","giraff","hippo","camel","","","","","","","","","","","","","bear","turkei","chicken","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fox","wolf","coyot","","","","","","","","","","","","","","","","","","","","","",""
"925468","antelop","buffalo","cattl","dog","fox","goos","hors","hyena","llama","","","","","","","","","","","","marlin","ox","","","","","","","","","","","","","","","","","","","zebra","rhino","eleph","sabl","minx","weasel","badger","wolverin","","","","","","","","","","","","","wolf","cat","lion","tiger","gorilla","monkei","baboon","","","","","","","","","","","","","","","","","",""
"919468","cat","dog","sheep","hors","chicken","goos","","","","","","","","","","","","","","","zebra","eleph","iguana","bear","deer","hors","","","","","","","","","","","","","","","cow","snak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"909683","cow","hors","sheep","eleph","zebra","tiger","lion","squirrel","bear","coon","beaver","muskrat","deer","","","","","","","","elk","snak","","","","","","","","","","","","","","","","","","","mous","rat","squirrel","chipmunk","gopher","","","","","","","","","","","","","","","","woodchuck","badger","skunk","","","","","","","","","","","","","","","","","","","","","",""
"905969","cow","hors","dog","cat","giraff","opossum","falcon","bull","eleph","rhino","monkei","","","","","","","","","","ap","beaver","poni","kitten","rat","pigeon","","","","","","","","","","","","","","","lion","tiger","pig","","","","","","","","","","","","","","","","","","mountainlion","bear","cheetah","lizard","","","","","","","","","","","","","","","","","allig","","","",""
"924159","eleph","llama","cat","cow","bull","goat","sheep","mous","rat","squirrel","chipmunk","","","","","","","","","","bobolink","robin","bird","polarbear","wolverin","","","","","","","","","","","","","","","","spider","","","","","","","","","","","","","","","","","","","","goat","","","","","","","","","","","","","","","","","","","","snak","","","",""
"932166","dog","cat","hors","cow","sheep","goat","giraff","","","","","","","","","","","","","","rhino","allig","crocodil","wolf","goos","duck","","","","","","","","","","","","","","","hors","minx","","","","","","","","","","","","","","","","","","","o","tiger","lion","","","","","","","","","","","","","","","","","","","","","",""
"910378","dog","cow","sheep","deer","fox","raccoon","opossum","deer","","","","","","","","","","","","","ferret","cat","","","","","","","","","","","","","","","","","","","coyot","ferret","","","","","","","","","","","","","","","","","","","hors","","","","","","","","","","","","","","","","","","","","","","","",""
"900753","cow","hors","pig","sheep","deer","elk","moos","bear","","","","","","","","","","","","","beaver","muskrat","hors","mule","","","","","","","","","","","","","","","","","steer","bull","","","","","","","","","","","","","","","","","","","fox","coon","","","","","","","","","","","","","","","","","","","","","","",""
"921693","cow","dog","eleph","elk","deer","antelop","bison","","","","","","","","","","","","","","cat","","","","","","","","","","","","","","","","","","","","hors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"901768","cat","dog","squirrel","deer","cow","hors","mous","","","","","","","","","","","","","","luce","mare","squirrel","rabbit","","","","","","","","","","","","","","","","","hamster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"926274","cow","pig","hors","cat","dog","giraff","eleph","buffalo","kangaroo","monkei","gorilla","","","","","","","","","","bird","duck","goos","turtl","snak","reptil","fish","","","","","","","","","","","","","","donkei","hors","goat","sheep","pig","","","","","","","","","","","","","","","","zebra","camel","kangaroo","badger","fox","","","","","","","","","","","","","","","","wolf","","","",""
"907122","squirrel","chipmunk","cat","dog","hors","cow","pig","mule","giraff","eleph","chicken","goos","","","","","","","","","seagul","eagl","snak","allig","","","","","","","","","","","","","","","","","whale","lion","fox","opossum","","","","","","","","","","","","","","","","","deer","antelop","moos","mink","","","","","","","","","","","","","","","","","","","","",""
"912938","dog","cat","sheep","goat","pig","cow","eleph","giraff","monkei","hyena","hippo","giraff","","","","","","","","","cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"900217","dog","cat","rabbit","gerbil","zebra","giraff","lion","tiger","eleph","cow","hors","pig","chicken","duck","goos","","","","","","robin","wren","buffalo","","","","","","","","","","","","","","","","","","deer","antelop","moos","fish","trout","allig","","","","","","","","","","","","","","","snak","rat","mous","squirrel","badger","","","","","","","","","","","","","","","","","","","",""
"933404","beaver","deer","moos","dog","cat","bear","lamb","cow","elk","antelop","","","","","","","","","","","polarbear","brownbear","giraff","eleph","lion","tiger","cougar","","","","","","","","","","","","","","rabbit","","","","","","","","","","","","","","","","","","","","ferret","mink","zebra","warthog","","","","","","","","","","","","","","","","","","","","",""
"907143","dog","cat","hors","cow","bear","snak","rabbit","fox","coyot","skunk","","","","","","","","","","","mountainlion","deer","turkei","duck","goos","","","","","","","","","","","","","","","","salamand","lizard","","","","","","","","","","","","","","","","","","","goat","llama","sheep","","","","","","","","","","","","","","","","","","","","","",""
"908058","lion","tiger","kangaroo","giraff","hyena","cow","pig","dog","cat","hors","mule","burro","muskrat","","","","","","","","beaver","eagl","eleph","","","","","","","","","","","","","","","","","","monkei","chimp","ap","gorilla","","","","","","","","","","","","","","","","","boar","","","","","","","","","","","","","","","","","","","","bear","","","",""
"903995","dog","cat","hors","chicken","goat","llama","donkei","","","","","","","","","","","","","","tiger","lion","whale","porpois","eagl","","","","","","","","","","","","","","","","hippo","giraff","anteat","","","","","","","","","","","","","","","","","","raccoon","skunk","badger","mous","","","","","","","","","","","","","","","","","","","","",""
"926147","zebra","cow","hors","dog","cat","bird","giraff","wildebeest","gnu","","","","","","","","","","","","bison","condor","hors","lion","tiger","hippo","","","","","","","","","","","","","","","rhino","cheetah","leopard","tiger","ostrich","","","","","","","","","","","","","","","","toucan","platypus","crocodil","allig","fish","","","","","","","","","","","","","","","","","","","",""
"930563","dog","cat","hors","cow","bird","giraff","eleph","hippo","monkei","","","","","","","","","","","","allig","hippo","camel","","","","","","","","","","","","","","","","","","goat","sheep","","","","","","","","","","","","","","","","","","","bird","","","","","","","","","","","","","","","","","","","","","","","",""
"916736","cat","mous","dog","hors","squirrel","leopard","tiger","eleph","crocodil","","","","","","","","","","","","shark","octopus","deer","moos","buffalo","camel","","","","","","","","","","","","","","","bird","partridg","","","","","","","","","","","","","","","","","","","canari","cow","sheep","hen","","","","","","","","","","","","","","","","","turkei","","","",""
"924347","cat","dog","hors","cow","pig","chicken","deer","squirrel","bird","","","","","","","","","","","","snak","badger","beaver","elk","moos","","","","","","","","","","","","","","","","goat","sheep","duck","goos","pigeon","","","","","","","","","","","","","","","","eleph","giraff","rhino","gazel","","","","","","","","","","","","","","","","","","","","",""
"933172","dog","pig","cow","hors","mous","","","","","","","","","","","","","","","","sheep","goat","llama","rabbit","donkei","lamb","","","","","","","","","","","","","","","beaver","deer","elk","moos","skunk","coon","","","","","","","","","","","","","","","squirrel","chipmunk","gopher","","","","","","","","","","","","","","","","","","","","","",""
"909073","cat","dog","giraff","eleph","lion","tiger","ocelot","hippo","rhino","seal","walrus","zebra","","","","","","","","","puma","mountainlion","raccoon","opossum","panda","platypus","","","","","","","","","","","","","","","whale","dolphin","koala","","","","","","","","","","","","","","","","","","kangaroo","wallabi","","","","","","","","","","","","","","","","","","","","","","",""
"932471","pig","cow","chicken","mous","eleph","zebra","monkei","","","","","","","","","","","","","","rhino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mink","otter","raccoon","deer","moos","elk","","","","","","","","","","","","","","","bear","","","",""
"913294","cow","hors","mule","chicken","duck","goos","calf","beefanimalorast","","","","","","","","","","","","","giraff","eleph","tiger","lion","bear","","","","","","","","","","","","","","","","pig","deer","","","","","","","","","","","","","","","","","","","antelop","moos","duck","elk","","","","","","","","","","","","","","","","","","","","",""
"911029","eleph","zebra","tiger","lion","cow","hors","dog","cat","sealion","dolphin","whale","muskrat","otter","","","","","","","","mink","raccoon","deer","elk","moos","muskox","","","","","","","","","","","","","","","weasel","fox","dog","","","","","","","","","","","","","","","","","","giraff","hippo","rhino","sloth","","","","","","","","","","","","","","","","","","","","",""
"925701","dairyanim","wildanim","domesticatedanim","reptil","amphibian","","","","","","","","","","","","","","","","canin","bird","duck","","","","","","","","","","","","","","","","","","zoo","reptil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"915136","dog","hors","cow","tiger","lion","cat","","","","","","","","","","","","","","","pig","sheep","","","","","","","","","","","","","","","","","","","eleph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"932427","hors","cow","sheep","dog","eleph","tiger","lion","seal","","","","","","","","","","","","","cat","walrus","","","","","","","","","","","","","","","","","","","giraff","goat","sheep","","","","","","","","","","","","","","","","","","bird","blackbird","bluebird","parrot","","","","","","","","","","","","","","","","","monkei","","","",""
"908990","dog","cat","snak","cow","hors","goat","sheep","ram","giraff","rhino","lion","tiger","","","","","","","","","pig","ostrich","chicken","ox","","","","","","","","","","","","","","","","","mule","calf","puppi","","","","","","","","","","","","","","","","","","sheep","","","","","","","","","","","","","","","","","","","","","","","",""
"903956","hors","cow","sheep","pig","dog","cat","bull","raccoon","opossum","","","","","","","","","","","","muskrat","donkei","mule","eleph","giraff","tiger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mous","rat","hippo","","","","","","","","","","","","","","","","","","kangaroo","","","",""
"913187","cow","hors","pig","llama","sheep","chicken","dog","cat","allig","giraff","eleph","","","","","","","","","","crocodil","bird","","","","","","","","","","","","","","","","","","","mous","rat","rodent","mole","fox","wolf","coyot","","","","","","","","","","","","","","bear","","","","","","","","","","","","","","","","","","","","","","","",""
"909944","cow","hors","sheep","pig","chicken","dog","cat","turkei","goat","donkei","reindeer","deer","","","","","","","","","bear","lion","giraff","monkei","","","","","","","","","","","","","","","","","cheetah","cheetah","tiger","rhino","hippo","","","","","","","","","","","","","","","","bear","deer","reindeer","raccoon","otter","seal","","","","","","","","","","","","","","","","","","",""
"908635","hors","pig","cow","bird","deer","duck","goos","sheep","","","","","","","","","","","","","lamb","beefanim","turkei","duck","","","","","","","","","","","","","","","","","chicken","hippo","eleph","rhino","donkei","","","","","","","","","","","","","","","","goat","mountainlion","","","","","","","","","","","","","","","","","","","","","","",""
"919974","cat","dog","cow","eleph","tiger","lion","monkei","rat","guineapig","pig","","","","","","","","","","","hors","donkei","leopard","giraff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kitten","puppi","deer","antelop","","","","","","","","","","","","","","","","","buffalo","","","",""
